npi_row_index,pecos_row_indices
240,[2757]
362,[268]
743,[3649]
827,[13]
861,[1318]
892,"[3971, 942, 3806, 276, 2876, 286, 622, 1601, 2989, 2040, 3034, 2345]"
970,[1901]
975,[889]
1015,[3551]
1116,[913]
1149,[2234]
1160,[2424]
1215,[852]
1385,[1581]
1398,[666]
1605,[3594]
1716,[1301]
1741,[2601]
1754,[214]
1765,[3940]
1829,[3448]
1904,[3321]
2019,[2269]
2061,[2533]
2215,[700]
2220,[1817]
2259,[2774]
2292,[679]
2342,[297]
2415,[2019]
2426,[34]
2487,[531]
2701,[502]
2766,[1647]
2875,[3956]
2969,[949]
2981,[999]
3086,[3080]
3165,[2300]
3264,[3478]
3315,[3157]
3365,[2240]
3384,[2188]
3385,[1293]
3574,[1922]
3668,[474]
3669,[2511]
3690,[3692]
3803,[3884]
3882,[2726]
3904,"[2856, 93]"
3976,[1086]
4017,[2912]
4044,[1430]
4081,"[2505, 2380]"
4086,[429]
4132,[1754]
4148,[1665]
4157,[929]
4187,[1482]
4188,[18]
4282,[521]
4350,[1991]
4540,[176]
4602,[1150]
4668,[1568]
4672,[10]
4733,[2184]
4749,[3996]
4854,[3259]
4860,[2651]
4885,[1733]
4912,[236]
4915,[1320]
4955,[3813]
5012,[1699]
5072,[2214]
5085,[1816]
5086,[583]
5167,[2126]
5276,[199]
5317,[2581]
5367,[2473]
5374,[2837]
5432,"[2655, 2205]"
5472,[1753]
5524,[2964]
5558,[1024]
5576,[1115]
5587,[504]
5630,[2788]
5689,[59]
5852,[3942]
5943,[3384]
5965,[940]
5977,[2992]
6104,[3007]
6148,"[1121, 896]"
6216,[2187]
6258,[3511]
6299,[1611]
6340,[3132]
6367,[3287]
6405,[927]
6479,[1310]
6516,[2225]
6622,[2789]
6719,[1172]
6742,[2150]
6745,[615]
6765,[524]
6833,[90]
6860,[2682]
6896,[2528]
6911,[2341]
6920,[2152]
6949,[2734]
7205,[2628]
7214,[3376]
7309,[944]
7442,[3423]
7639,[448]
7657,[3122]
7883,[3314]
8187,[1947]
8765,[1735]
9048,[1225]
9115,[2795]
9341,[3543]
9401,[1809]
9499,[1278]
9566,[1471]
9804,[102]
9810,[1314]
9941,[2422]
9944,[1869]
10523,[511]
10768,[688]
10960,[1891]
11108,[1814]
11205,[3399]
11343,[37]
11440,[462]
11551,[1259]
12205,[2215]
12213,[926]
12217,[1007]
12229,[1300]
12253,[2391]
12272,[1988]
12278,[3395]
12287,[1093]
12325,[2839]
12453,[3803]
12540,[2652]
12662,[1018]
12768,[2838]
12794,[1840]
12842,[737]
12902,[3769]
12952,[445]
12953,[1725]
13019,[1803]
13190,[1995]
13199,[1377]
13201,[3835]
13227,[2421]
13235,[1636]
13292,[1131]
13429,[3232]
13459,[3997]
13470,[890]
13545,[1031]
13585,[1039]
13615,[157]
13624,[517]
13685,[3263]
13842,[1887]
13949,[479]
13962,[2509]
13983,[1416]
13985,[3775]
13990,[3428]
14105,[2615]
14113,[3915]
14141,[1074]
14294,[578]
14449,[582]
14486,[1879]
14529,[132]
14606,[3675]
14720,[726]
14737,[2148]
14802,[2810]
14805,[2502]
14854,[2649]
14996,[1845]
15038,[984]
15148,[2354]
15154,[174]
15193,[266]
15388,[3874]
15395,[2994]
15396,"[1455, 2701]"
15411,[3623]
15420,[1825]
15428,[3199]
15537,[3413]
15613,[361]
15662,[609]
15688,[2028]
15708,[1200]
15754,[3074]
15782,[2360]
15818,[2588]
15832,[2482]
15950,[2961]
16126,[3213]
16456,[2210]
16474,[2207]
16644,[1204]
16720,[2917]
16726,[2906]
16730,[1460]
16744,[1159]
16750,[208]
16758,[466]
16769,[3211]
16819,[3485]
16869,[549]
17006,[612]
17012,[2781]
17061,[3720]
17153,"[2098, 2417, 2590, 3561]"
17183,[188]
17189,[2718]
17213,[1184]
17294,[2022]
17344,[122]
17347,[3804]
17443,[2044]
17453,[1823]
17622,[1613]
17655,[2077]
17678,[3400]
17690,[235]
17694,[3079]
17718,[277]
17793,[2317]
18039,[350]
18199,[3206]
18238,"[177, 210]"
18247,[2226]
18249,[3829]
18275,[178]
18282,[311]
18321,[1831]
18342,[2918]
18348,[1997]
18356,"[2663, 482]"
18363,[507]
18389,[2361]
18393,[3463]
18434,[3695]
18458,[3051]
18464,[1309]
18468,[254]
18500,[2277]
18513,[1064]
18529,"[2388, 17]"
18545,[3700]
18553,[3381]
18616,[857]
18635,[2576]
18716,[2979]
18778,[87]
18829,[23]
18853,[2759]
18941,[2083]
18942,[2316]
18956,[3267]
18957,[2464]
18976,[1168]
19078,[1043]
19277,[548]
19335,[3460]
19337,[1994]
19375,[1880]
19411,[2099]
19641,[3611]
19873,[2891]
20174,[692]
20525,[1240]
20537,[212]
20584,[1361]
20640,[2137]
20678,[2893]
20819,[3004]
20861,[1542]
20986,[2450]
21066,[200]
21121,[3146]
21161,[2050]
21254,[2982]
21430,[2606]
21473,[1974]
21517,[874]
21519,[3851]
21693,[1432]
21818,[2488]
21964,[3882]
22020,[817]
22191,[3398]
22314,[1616]
22438,[1549]
22495,[3155]
22527,[1158]
22626,[1346]
22627,[912]
22759,[1213]
22923,[3712]
23077,[1757]
23104,"[3620, 1281]"
23112,[2863]
23153,[3603]
23236,[522]
23246,[2753]
23255,[840]
23267,[902]
23307,[339]
23362,[2660]
23387,[3989]
23433,[1848]
23543,[294]
23554,[3760]
23620,[2469]
23622,[1643]
23739,[2254]
24359,[292]
24376,[3930]
24455,[2342]
24854,[1721]
